LOC135892157	XM_065419858.1#LOC135892157
HGF	XM_065417057.1#HGF
SEMA3C	XM_065422929.1#SEMA3C
CD36	XM_065416865.1#CD36
GNAT3	XM_065397526.1#GNAT3
GNAI1	XM_065422845.1#GNAI1
LOC135881934	XM_065408700.1#LOC135881934
MAGI2	XM_065403425.1#MAGI2
PHTF2	XM_065403358.1#PHTF2
TMEM60	XM_065414038.1#TMEM60
RSBN1L	XM_065406043.1#RSBN1L
PTPN12	XM_065411744.1#PTPN12
GSAP	XM_065418854.1#GSAP
CCDC146	XM_065423400.1#CCDC146
FGL2	XM_065405736.1#FGL2
FAM185A	XM_065423228.1#FAM185A
FBXL13	XM_065423233.1#FBXL13
LRRC17	XM_065397446.1#LRRC17
ARMC10	XM_065416391.1#ARMC10
NAPEPLD	XM_065421540.1#NAPEPLD
PMPCB	XM_065399208.1#PMPCB
DNAJC2	XM_065399226.1#DNAJC2
DNAJC2	XM_065399220.1#DNAJC2
PSMC2	XM_065397565.1#PSMC2
SLC26A5	XM_065414813.1#SLC26A5
SLC26A5	XM_065414818.1#SLC26A5
RELN	XM_065399303.1#RELN
RELN	XM_065399311.1#RELN
ORC5	XM_065415829.1#ORC5
LHFPL3	XM_065423732.1#LHFPL3
KMT2E	XM_065421947.1#KMT2E
SRPK2	XM_065423748.1#SRPK2
PUS7	XM_065412822.1#PUS7
RINT1	XM_065412056.1#RINT1
EFCAB10	XM_065423295.1#EFCAB10
ATXN7L1	XM_065397602.1#ATXN7L1
CDHR3	XM_065423772.1#CDHR3
SYPL1	XM_065421217.1#SYPL1
SYPL1	XM_065421226.1#SYPL1
SYPL1	XM_065421242.1#SYPL1
SYPL1	XM_065421234.1#SYPL1
NAMPT	XM_065408671.1#NAMPT
CCDC71L	XM_065397577.1#CCDC71L
PIK3CG	XM_065397542.1#PIK3CG
PRKAR2B	XM_065419895.1#PRKAR2B
HBP1	XM_065401890.1#HBP1
COG5	XM_065401879.1#COG5
GPR22	XM_065401902.1#GPR22
DUS4L	XM_065397913.1#DUS4L
DUS4L	XM_065397995.1#DUS4L
DUS4L	XM_065398084.1#DUS4L
DUS4L	XM_065398170.1#DUS4L
SLC26A4	XM_065404751.1#SLC26A4
SLC26A4	XM_065404744.1#SLC26A4
CBLL1	XM_065404175.1#CBLL1
CBLL1	XM_065404159.1#CBLL1
CBLL1	XM_065404167.1#CBLL1
SLC26A3	XM_065404148.1#SLC26A3
DLD	XM_065399051.1#DLD
LAMB1	XM_065399488.1#LAMB1
LAMB4	XM_065408225.1#LAMB4
ERGIC2	XM_065417490.1#ERGIC2
LRRK2	XM_065423787.1#LRRK2
SLC2A13	XM_065421661.1#SLC2A13
REDIC1	XM_065423791.1#REDIC1
ABCD2	XM_065419412.1#ABCD2
ABCD2	XM_065419420.1#ABCD2
KIF21A	XM_065423792.1#KIF21A
LOC135895655	XM_065423794.1#LOC135895655
CPNE8	XM_065399630.1#CPNE8
CPNE8	XM_065399646.1#CPNE8
ALG10	XM_065409919.1#ALG10
ALG10	XM_065409912.1#ALG10
ALG10	XM_065409904.1#ALG10
TPRKB	XM_065409926.1#TPRKB
GTSE1	XM_065422945.1#GTSE1
TRMU	XM_065419191.1#TRMU
TRMU	XM_065419199.1#TRMU
CELSR1	XM_065408216.1#CELSR1
GRAMD4	XM_065420855.1#GRAMD4
CERK	XM_065413766.1#CERK
TBC1D22A	XM_065417476.1#TBC1D22A
TAFA5	XM_065400274.1#TAFA5
BRD1	XM_065423195.1#BRD1
ZBED4	XM_065405394.1#ZBED4
ALG12	XM_065405405.1#ALG12
CRELD2	XM_065419431.1#CRELD2
PIM3	XM_065405095.1#PIM3
PIM3	XM_065405104.1#PIM3
TTLL8	XM_065419884.1#TTLL8
MLC1	XM_065423057.1#MLC1
MOV10L1	XM_065400713.1#MOV10L1
LOC135892953	XM_065420729.1#LOC135892953
PANX2	XM_065423627.1#PANX2
LOC135876228	XM_065401430.1#LOC135876228
TRABD	XM_065423260.1#TRABD
TRABD	XM_065423261.1#TRABD
SELENOO	XM_065407365.1#SELENOO
TUBGCP6	XM_065413189.1#TUBGCP6
HDAC10	XM_065420601.1#HDAC10
LOC135895672	XM_065423813.1#LOC135895672
MAPK12	XM_065404039.1#MAPK12
MAPK11	XM_065423308.1#MAPK11
PLXNB2	XM_065400954.1#PLXNB2
ZNF800	XM_065412668.1#ZNF800
ZNF800	XM_065412660.1#ZNF800
GRM8	XM_065419971.1#GRM8
POT1	XM_065416157.1#POT1
GPR37	XM_065423560.1#GPR37
LOC135893639	XM_065421501.1#LOC135893639
LOC135893639	XM_065421493.1#LOC135893639
SPAM1	XM_065417469.1#SPAM1
HYAL4	XM_065401080.1#HYAL4
LOC135884736	XM_065412270.1#LOC135884736
WASL	XM_065416349.1#WASL
LMOD2	XM_065420350.1#LMOD2
ASB15	XM_065409439.1#ASB15
NDUFA5	XM_065409451.1#NDUFA5
IQUB	XM_065423349.1#IQUB
LOC135873048	XM_065397523.1#LOC135873048
SLC13A1	XM_065404416.1#SLC13A1
CADPS2	XM_065397473.1#CADPS2
CADPS2	XM_065397474.1#CADPS2
CADPS2	XM_065397479.1#CADPS2
CADPS2	XM_065397480.1#CADPS2
CADPS2	XM_065397476.1#CADPS2
CADPS2	XM_065397481.1#CADPS2
CADPS2	XM_065397477.1#CADPS2
CADPS2	XM_065397483.1#CADPS2
CADPS2	XM_065397485.1#CADPS2
CADPS2	XM_065397475.1#CADPS2
CADPS2	XM_065397482.1#CADPS2
CADPS2	XM_065397478.1#CADPS2
CADPS2	XM_065397484.1#CADPS2
CADPS2	XM_065397486.1#CADPS2
RNF148	XM_065423574.1#RNF148
FEZF1	XM_065401203.1#FEZF1
AASS	XM_065417473.1#AASS
PTPRZ1	XM_065401331.1#PTPRZ1
FAM3C	XM_065408331.1#FAM3C
WNT16	XM_065416540.1#WNT16
CPED1	XM_065423264.1#CPED1
ING3	XM_065405903.1#ING3
TSPAN12	XM_065423677.1#TSPAN12
KCND2	XM_065417557.1#KCND2
ANKRD26	XM_065405700.1#ANKRD26
LSM8	XM_065421802.1#LSM8
CTTNBP2	XM_065423243.1#CTTNBP2
CFTR	XM_065401426.1#CFTR
ASZ1	XM_065423563.1#ASZ1
WNT2	XM_065423843.1#WNT2
ST7	XM_065405260.1#ST7
ST7	XM_065405250.1#ST7
ST7	XM_065405241.1#ST7
CAPZA2	XM_065399070.1#CAPZA2
MET	XM_065408184.1#MET
CAV1	XM_065422866.1#CAV1
CAV1	XM_065422860.1#CAV1
CAV2	XM_065423734.1#CAV2
TES	XM_065423218.1#TES
TFEC	XM_065404856.1#TFEC
RPL28	XM_065401502.1#RPL28
MDFIC	XM_065403045.1#MDFIC
MDFIC	XM_065403052.1#MDFIC
FOXP2	XM_065407882.1#FOXP2
FOXP2	XM_065407851.1#FOXP2
FOXP2	XM_065407835.1#FOXP2
FOXP2	XM_065407892.1#FOXP2
FOXP2	XM_065407918.1#FOXP2
FOXP2	XM_065407826.1#FOXP2
FOXP2	XM_065407809.1#FOXP2
FOXP2	XM_065407794.1#FOXP2
FOXP2	XM_065407786.1#FOXP2
FOXP2	XM_065407769.1#FOXP2
FOXP2	XM_065407928.1#FOXP2
PPP1R3A	XM_065397424.1#PPP1R3A
SMIM30	XM_065403845.1#SMIM30
SMIM30	XM_065403828.1#SMIM30
SMIM30	XM_065403854.1#SMIM30
SMIM30	XM_065403836.1#SMIM30
GPR85	XM_065423512.1#GPR85
BMT2	XM_065422764.1#BMT2
TMEM168	XM_065412867.1#TMEM168
TMEM168	XM_065412862.1#TMEM168
LOC135895717	XM_065423864.1#LOC135895717
LSMEM1	XM_065423523.1#LSMEM1
IFRD1	XM_065401653.1#IFRD1
ZNF277	XM_065416497.1#ZNF277
ZNF277	XM_065416506.1#ZNF277
DOCK4	XM_065401620.1#DOCK4
IMMP2L	XM_065423633.1#IMMP2L
IMMP2L	XM_065423634.1#IMMP2L
LRRN3	XM_065423244.1#LRRN3
DNAJB9	XM_065415840.1#DNAJB9
THAP5	XM_065417976.1#THAP5
THAP5	XM_065417974.1#THAP5
LOC135895587	XM_065423725.1#LOC135895587
PNPLA8	XM_065415137.1#PNPLA8
NRCAM	XM_065412614.1#NRCAM
NRCAM	XM_065412605.1#NRCAM
CNTN1	XM_065400114.1#CNTN1
PDZRN4	XM_065415687.1#PDZRN4
PDZRN4	XM_065415705.1#PDZRN4
GXYLT1	XM_065418498.1#GXYLT1
GXYLT1	XM_065418490.1#GXYLT1
YAF2	XM_065413552.1#YAF2
ZCRB1	XM_065411979.1#ZCRB1
PPHLN1	XM_065401824.1#PPHLN1
PPHLN1	XM_065403323.1#PPHLN1
PPHLN1	XM_065404063.1#PPHLN1
PRICKLE1	XM_065416725.1#PRICKLE1
ADAMTS20	XM_065400040.1#ADAMTS20
PUS7L	XM_065407379.1#PUS7L
IRAK4	XM_065407392.1#IRAK4
TWF1	XM_065408789.1#TWF1
TMEM117	XM_065423784.1#TMEM117
NELL2	XM_065405280.1#NELL2
NELL2	XM_065405271.1#NELL2
LOC135876561	XM_065401862.1#LOC135876561
DBX2	XM_065423857.1#DBX2
ANO6	XM_065404068.1#ANO6
ARID2	XM_065417423.1#ARID2
SCAF11	XM_065399666.1#SCAF11
SCAF11	XM_065399659.1#SCAF11
SCAF11	XM_065399683.1#SCAF11
SCAF11	XM_065399675.1#SCAF11
SCAF11	XM_065399691.1#SCAF11
SLC38A1	XM_065416307.1#SLC38A1
SLC38A2	XM_065401820.1#SLC38A2
SLC38A4	XM_065406398.1#SLC38A4
AMIGO2	XM_065397527.1#AMIGO2
RPAP3	XM_065405587.1#RPAP3
ATP23	XM_065414603.1#ATP23
ATP23	XM_065414571.1#ATP23
ATP23	XM_065414586.1#ATP23
ATP23	XM_065414578.1#ATP23
ATP23	XM_065414595.1#ATP23
LRIG3	XM_065405894.1#LRIG3
SLC16A7	XM_065417957.1#SLC16A7
TAFA2	XM_065423593.1#TAFA2
TAFA2	XM_065423592.1#TAFA2
USP15	XM_065399947.1#USP15
USP15	XM_065399954.1#USP15
MON2	XM_065399746.1#MON2
MON2	XM_065399738.1#MON2
MON2	XM_065399755.1#MON2
PPM1H	XM_065408660.1#PPM1H
AVPR1A	XM_065422327.1#AVPR1A
RXYLT1	XM_065423209.1#RXYLT1
SRGAP1	XM_065423765.1#SRGAP1
KICS2	XM_065423766.1#KICS2
RPL18A	XM_065400876.1#RPL18A
XPOT	XM_065412718.1#XPOT
TBK1	XM_065414668.1#TBK1
RASSF3	XM_065423249.1#RASSF3
GNS	XM_065421591.1#GNS
TBC1D30	XM_065413973.1#TBC1D30
TBC1D30	XM_065413977.1#TBC1D30
WIF1	XM_065422349.1#WIF1
LEMD3	XM_065410521.1#LEMD3
MSRB3	XM_065401048.1#MSRB3
MSRB3	XM_065401008.1#MSRB3
MSRB3	XM_065401040.1#MSRB3
MSRB3	XM_065401016.1#MSRB3
MSRB3	XM_065401033.1#MSRB3
MSRB3	XM_065401025.1#MSRB3
HMGA2	XM_065402406.1#HMGA2
LLPH	XM_065415019.1#LLPH
LLPH	XM_065415015.1#LLPH
TMBIM4	XM_065404833.1#TMBIM4
HELB	XM_065404102.1#HELB
GRIP1	XM_065419595.1#GRIP1
GRIP1	XM_065419580.1#GRIP1
GRIP1	XM_065419588.1#GRIP1
GRIP1	XM_065419571.1#GRIP1
GRIP1	XM_065419563.1#GRIP1
CAND1	XM_065419544.1#CAND1
CAND1	XM_065419551.1#CAND1
DYRK2	XM_065419102.1#DYRK2
IFNG	XM_065422066.1#IFNG
IL26	XM_065401776.1#IL26
IL22	XM_065402511.1#IL22
MDM1	XM_065420079.1#MDM1
RAP1B	XM_065401411.1#RAP1B
NUP107	XM_065413380.1#NUP107
SLC35E3	XM_065402631.1#SLC35E3
MDM2	XM_065397561.1#MDM2
MDM2	XM_065397557.1#MDM2
MDM2	XM_065397555.1#MDM2
MDM2	XM_065397556.1#MDM2
MDM2	XM_065397558.1#MDM2
MDM2	XM_065397559.1#MDM2
MDM2	XM_065397560.1#MDM2
CPM	XM_065423519.1#CPM
CPM	XM_065423520.1#CPM
CPSF6	XM_065402751.1#CPSF6
LOC135874555	XM_065399432.1#LOC135874555
LOC135875960	XM_065401061.1#LOC135875960
YEATS4	XM_065413536.1#YEATS4
FRS2	XM_065414614.1#FRS2
FRS2	XM_065414621.1#FRS2
CCT2	XM_065403866.1#CCT2
LRRC10	XM_065397500.1#LRRC10
LOC135885162	XM_065412811.1#LOC135885162
BEST3	XM_065416059.1#BEST3
RAB3IP	XM_065419112.1#RAB3IP
MYRFL	XM_065423511.1#MYRFL
CNOT2	XM_065399995.1#CNOT2
CNOT2	XM_065399980.1#CNOT2
CNOT2	XM_065399988.1#CNOT2
CNOT2	XM_065400004.1#CNOT2
KCNMB4	XM_065423437.1#KCNMB4
PTPRB	XM_065413720.1#PTPRB
PTPRR	XM_065408440.1#PTPRR
TSPAN8	XM_065412560.1#TSPAN8
LGR5	XM_065406449.1#LGR5
ZFC3H1	XM_065399903.1#ZFC3H1
THAP2	XM_065399922.1#THAP2
THAP2	XM_065399914.1#THAP2
TMEM19	XM_065415851.1#TMEM19
RAB21	XM_065399823.1#RAB21
TBC1D15	XM_065397586.1#TBC1D15
TBC1D15	XM_065397587.1#TBC1D15
TPH2	XM_065409335.1#TPH2
TRHDE	XM_065423079.1#TRHDE
KCNC2	XM_065415460.1#KCNC2
KCNC2	XM_065415502.1#KCNC2
KCNC2	XM_065415483.1#KCNC2
KCNC2	XM_065415493.1#KCNC2
KCNC2	XM_065415467.1#KCNC2
KCNC2	XM_065415453.1#KCNC2
CAPS2	XM_065413081.1#CAPS2
LOC135895484	XM_065423595.1#LOC135895484
LOC135894470	XM_065422573.1#LOC135894470
LOC135890819	XM_065418272.1#LOC135890819
KRR1	XM_065412728.1#KRR1
PHLDA1	XM_065423515.1#PHLDA1
NAP1L1	XM_065423396.1#NAP1L1
NAP1L1	XM_065423395.1#NAP1L1
NAP1L1	XM_065423397.1#NAP1L1
BBS10	XM_065423842.1#BBS10
OSBPL8	XM_065406921.1#OSBPL8
OSBPL8	XM_065406929.1#OSBPL8
ZDHHC17	XM_065408882.1#ZDHHC17
CSRP2	XM_065405632.1#CSRP2
CSRP2	XM_065405649.1#CSRP2
CSRP2	XM_065405640.1#CSRP2
CSRP2	XM_065405656.1#CSRP2
E2F7	XM_065403215.1#E2F7
NAV3	XM_065423439.1#NAV3
NAV3	XM_065423440.1#NAV3
SYT1	XM_065414316.1#SYT1
SYT1	XM_065414324.1#SYT1
PAWR	XM_065423586.1#PAWR
PPP1R12A	XM_065423865.1#PPP1R12A
RPS16	XM_065403158.1#RPS16
OTOGL	XM_065403324.1#OTOGL
PTPRQ	XM_065403406.1#PTPRQ
MYF6	XM_065423401.1#MYF6
MYF5	XM_065423192.1#MYF5
LIN7A	XM_065423477.1#LIN7A
ACSS3	XM_065423450.1#ACSS3
PPFIA2	XM_065422644.1#PPFIA2
PPFIA2	XM_065422656.1#PPFIA2
PPFIA2	XM_065422651.1#PPFIA2
TMTC2	XM_065423466.1#TMTC2
SLC6A15	XM_065412955.1#SLC6A15
TSPAN19	XM_065401403.1#TSPAN19
LRRIQ1	XM_065423814.1#LRRIQ1
ALX1	XM_065423338.1#ALX1
RASSF9	XM_065397553.1#RASSF9
NTS	XM_065423872.1#NTS
MGAT4C	XM_065423449.1#MGAT4C
C1H12orf50	XM_065397505.1#C1H12orf50
RLIG1	XM_065400996.1#RLIG1
CEP290	XM_065400984.1#CEP290
TMTC3	XM_065415773.1#TMTC3
KITLG	XM_065423341.1#KITLG
DUSP6	XM_065419770.1#DUSP6
DUSP6	XM_065419762.1#DUSP6
POC1B	XM_065400269.1#POC1B
GALNT4	XM_065400268.1#GALNT4
ATP2B1	XM_065419954.1#ATP2B1
EPYC	XM_065421788.1#EPYC
KERA	XM_065423754.1#KERA
LUM	XM_065423632.1#LUM
DCN	XM_065415585.1#DCN
DCN	XM_065415577.1#DCN
DCN	XM_065415593.1#DCN
DCN	XM_065415569.1#DCN
BTG1	XM_065399185.1#BTG1
PLEKHG7	XM_065403861.1#PLEKHG7
EEA1	XM_065403979.1#EEA1
NUDT4	XM_065399283.1#NUDT4
NUDT4	XM_065399291.1#NUDT4
UBE2N	XM_065402179.1#UBE2N
MRPL42	XM_065418963.1#MRPL42
SOCS2	XM_065414337.1#SOCS2
CRADD	XM_065414216.1#CRADD
CRADD	XM_065414200.1#CRADD
CRADD	XM_065414208.1#CRADD
PLXNC1	XM_065417273.1#PLXNC1
CEP83	XM_065406005.1#CEP83
TMCC3	XM_065418761.1#TMCC3
NDUFA12	XM_065410056.1#NDUFA12
NR2C1	XM_065402952.1#NR2C1
FGD6	XM_065421358.1#FGD6
VEZT	XM_065404428.1#VEZT
METAP2	XM_065409944.1#METAP2
USP44	XM_065406017.1#USP44
NTN4	XM_065421132.1#NTN4
SNRPF	XM_065413368.1#SNRPF
SNRPF	XM_065413358.1#SNRPF
CCDC38	XM_065413345.1#CCDC38
AMDHD1	XM_065423331.1#AMDHD1
HAL	XM_065414225.1#HAL
LOC135878497	XM_065404217.1#LOC135878497
LOC135876507	XM_065401745.1#LOC135876507
ELK3	XM_065423877.1#ELK3
CDK17	XM_065423876.1#CDK17
CDK17	XM_065423875.1#CDK17
CDK17	XM_065423874.1#CDK17
CFAP54	XM_065423873.1#CFAP54
NEDD1	XM_065418089.1#NEDD1
TMPO	XM_065402389.1#TMPO
TMPO	XM_065402397.1#TMPO
TMPO	XM_065402407.1#TMPO
TMPO	XM_065402416.1#TMPO
TMPO	XM_065402424.1#TMPO
SLC25A3	XM_065401995.1#SLC25A3
IKBIP	XM_065423662.1#IKBIP
IKBIP	XM_065423661.1#IKBIP
APAF1	XM_065423524.1#APAF1
APAF1	XM_065423526.1#APAF1
APAF1	XM_065423528.1#APAF1
APAF1	XM_065423525.1#APAF1
ANKS1B	XM_065423481.1#ANKS1B
ANKS1B	XM_065423480.1#ANKS1B
ANKS1B	XM_065423479.1#ANKS1B
ANKS1B	XM_065423478.1#ANKS1B
BLTP3B	XM_065404449.1#BLTP3B
ACTR6	XM_065413321.1#ACTR6
ACTR6	XM_065413331.1#ACTR6
DEPDC4	XM_065422807.1#DEPDC4
SCYL2	XM_065408091.1#SCYL2
SLC17A8	XM_065414664.1#SLC17A8
NR1H4	XM_065420536.1#NR1H4
NR1H4	XM_065420544.1#NR1H4
GAS2L3	XM_065423494.1#GAS2L3
ANO4	XM_065408353.1#ANO4
SLC5A8	XM_065412045.1#SLC5A8
UTP20	XM_065404546.1#UTP20
ARL1	XM_065400378.1#ARL1
ARL1	XM_065400370.1#ARL1
NUP205	XM_065411071.1#NUP205
NUP205	XM_065411064.1#NUP205
CNOT4	XM_065401503.1#CNOT4
CNOT4	XM_065401510.1#CNOT4
CNOT4	XM_065401526.1#CNOT4
CNOT4	XM_065401495.1#CNOT4
CNOT4	XM_065401519.1#CNOT4
CNOT4	XM_065401534.1#CNOT4
LOC135893671	XM_065421556.1#LOC135893671
STRA8	XM_065397503.1#STRA8
WDR91	XM_065411618.1#WDR91
